50 Free Name,50 Free Time,50 Free FINA,100 Br Name,100 Br Time,100 Br FINA,100 Back Name,100 Back Time,100 Bk FINA,Place of 1000,Percentile
Alex Anderson,17.63,950.0,Alex Foster,49.51,950.0,Alex Lewis 2,43.2,950.0,1,100.0
Blake Anderson,18.300325859545044,949.2492492492493,Blake Foster,50.293059005579764,949.2492492492493,Blake Lewis 2,44.97040719356106,949.2492492492493,2,99.9
Cameron Anderson,18.308375664670113,948.4984984984985,Cameron Foster,50.31006359256843,948.4984984984985,Cameron Lewis 2,45.14924777146111,948.4984984984985,3,99.8
Devon Anderson,18.374798119875194,947.7477477477478,Devon Foster,50.33408932648157,947.7477477477478,Devon Lewis 2,45.20423179593574,947.7477477477478,4,99.7
Ellis Anderson,18.542833774234257,946.996996996997,Ellis Foster,51.60350375022842,946.996996996997,Ellis Lewis 2,45.21881896301757,946.996996996997,5,99.6
Finley Anderson,19.134237462385453,946.2462462462463,Finley Foster,51.704379363941634,946.2462462462463,Finley Lewis 2,45.381332434512835,946.2462462462463,6,99.5
Gray Anderson,19.13511936558704,945.4954954954954,Gray Foster,51.79131275170165,945.4954954954954,Gray Lewis 2,45.4379627787864,945.4954954954954,7,99.4
Hunter Anderson,19.142513582255066,944.7447447447447,Hunter Foster,51.817288236701884,944.7447447447447,Hunter Lewis 2,45.58157790492957,944.7447447447447,8,99.3
Ian Anderson,19.177789246323787,943.993993993994,Ian Foster,51.8529622505683,943.993993993994,Ian Lewis 2,45.58294389890851,943.993993993994,9,99.2
Jake Anderson,19.178427371951425,943.2432432432432,Jake Foster,51.85405784618131,943.2432432432432,Jake Lewis 2,45.60624968598963,943.2432432432432,10,99.1
Kyle Anderson,19.18700534553074,942.4924924924925,Kyle Foster,51.8568718466474,942.4924924924925,Kyle Lewis 2,45.629574163995876,942.4924924924925,11,99.0
Logan Anderson,19.189779326125198,941.7417417417417,Logan Foster,51.872030582776006,941.7417417417417,Logan Lewis 2,45.63889822708303,941.7417417417417,12,98.9
